11 DE SEPTIEMBRE DE 1888,Barroso-Contartese-Diaz,Calle,AP,PFA,SAME
12 DE OCTUBRE,Caldirola-Rotela-Benedetto-Bossio-Lopez-Fiasche,Avenida,Peaton,Metropolitana,Privado
14 DE JULIO,Caldirola-Rotela-Benedetto-Bossio-Lopez-Fiasche-Lopez,Autopista,Moto,Gendarmeria,
15 DE NOVIEMBRE DE 1889,Caldirola-Rotela-Benedetto-Fiasche,Colectora,TP,Prefectura,
1ro DE MAYO,Contartese-Balerio Lucas-Diaz,Peaje,Bicicleta,Otros,
2 DE ABRIL DE 1982,Contartese-Romania,Pasaje,Taxi,,
20 DE FEBRERO,Contartese-Romania-Diaz,Metrobus,Camion,,
20 DE SETIEMBRE,Diaz-Urbide,Ciclovia,Camioneta,,
24 DE NOVIEMBRE,Diaz-Urbide-Maidana-Panzica,Carril Exclusivo,Micro,,
25 DE MAYO,Diaz-Urbide-Panzica-Tabo,De Convivencia,Micro Escolar,,
27 DE FEBRERO,Diaz-Urbide-Tabo,,Ambulancia,,
3 DE FEBRERO,Logato-Diaz,,Movil Policial,,
5 DE JULIO,Lopez-Bossio-Benedeto-Caldirola-Fiasche-Lopez,,Charter,,
9 DE JULIO,Maidana-Panzica,,Tren,,
ACASSUSO,Romania - Contartese - Diaz ,,Otros,,
ACEVEDO,Romania-Diaz,,,,
"ACEVEDO, EDUARDO",Romania-Diaz-Contartese ,,,,
"ACHA, MARIANO, Gral.",Rotela-Lopez-Fiasche-J.Lopez-Bossio-Benedetto-Caldirola,,,,
ACHALA,Sivori-Bibulich,,,,
ACHAVAL,Tiseira,,,,
"ACHAVAL RODRIGUEZ, T., DR.",Urbide-Tabo,,,,
ACHEGA,,,,,
ACHIRA,,,,,
ACHUPALLAS,,,,,
ACONCAGUA,,,,,
"ACOSTA, MARIANO",,,,,
ACOYTE,,,,,
"ACUÑA DE FIGUEROA, FRANCISCO",,,,,
AGACES,,,,,
AGOTE PEDRO,,,,,
"AGOTE, LUIS Dr.",,,,,
AGRELO,,,,,
"AGUADO, ALEJANDRO M. DE",,,,,
AGUARIBAY,,,,,
AGUAS BUENAS,,,,,
AGUERO,,,,,
AGUILAR,,,,,
AGUIRRE,,,,,
"AGUIRRE, JULIAN",,,,,
AIZPURUA,,,,,
ALAGON,,,,,
ALBANIA,,,,,
ALBARELLOS,,,,,
ALBARIÑO,,,,,
ALBARRACIN,,,,,
"ALBARRACIN DE SARMIENTO, PAULA",,,,,
"ALBERDI, JUAN BAUTISTA",,,,,
ALBERTI,,,,,
ALCARAZ,,,,,
"ALCORTA, AMANCIO",,,,,
"ALEM, LEANDRO N.",,,,,
ALEMANIA,,,,,
ALFARERO,,,,,
ALGARROBO,,,,,
ALICANTE,,,,,
ALLENDE,,,,,
ALMAFUERTE,,,,,
ALMAGRO,,,,,
"ALMEIRA, HILARIO de",,,,,
ALPATACAL,,,,,
"ALSINA, ADOLFO",,,,,
"ALSINA, VALENTIN",,,,,
ALTA GRACIA,,,,,
ALTOLAGUIRRE,,,,,
ALVAR NUÑEZ,,,,,
ALVARADO,,,,,
"ALVAREZ DE ACEVEDO, TOMAS",,,,,
ALVAREZ JONTE,,,,,
